"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"
664	"Nova Scotia"	"20-24"	21.45835	22.55835	26.32521	27.45836	28.83316	24.96657	24.40851	25.64164	27.12219	32.9382	38.319	40.774	45.018	36.445	33.226	30.444	30.938	32.325	31.41
664	"Nova Scotia"	"25-29"	17.5833	17.34164	20.95863	25.43342	26.68328	24.69151	22.92493	22.54164	22.35411	24.85855	34.622	35.835	40.576	42.122	33.521	30.187	27.319	28.672	30.236
664	"Nova Scotia"	"30-34"	15.34165	15.34165	15.89179	20.50026	24.77507	23.58329	22.64165	22.02493	20.91928	21.42215	26.524	33.921	36.029	39.938	40.795	32.616	29.246	27.462	27.901
664	"Nova Scotia"	"35-39"	15.74165	15.64164	15.12493	16.26685	20.19178	22.10849	22.94164	22.24164	20.77403	20.78573	21.955	26.329	33.722	35.83	39.22	40.388	32.241	29.895	27.458
664	"Nova Scotia"	"40-44"	14.04165	14.2	15.31671	15.04165	16.53343	18.68356	21.83342	22.3	21.36393	20.1301	20.634	21.844	26.102	33.435	35.414	38.545	39.903	32.166	29.299
664	"Nova Scotia"	"45-49"	13.64165	13.64165	13.7	14.71672	14.74165	15.23343	18.40849	20.71671	21.09228	20.69236	19.555	20.288	21.473	25.834	33.233	35.082	38.183	38.951	31.552
664	"Nova Scotia"	"50-54"	12.25836	12.49999	13	13.15836	14.15835	13.71671	15.05835	17.60849	19.67088	19.94156	20.019	19.059	19.925	21.057	25.341	33.049	34.755	37.566	37.842
664	"Nova Scotia"	"55-59"	9.81671	10.20001	11.37507	11.9	12.31671	12.55836	12.85835	13.71672	16.24914	18.59582	18.801	19.179	18.474	19.338	20.725	24.876	32.745	34.033	36.89
664	"Nova Scotia"	"60-64"	9.15835	9.3	9.31671	10.21671	10.6	10.85836	11.31671	11.65836	12.18666	15.08265	17.397	17.591	18.028	17.465	18.636	19.979	24.622	31.773	33.014
664	"Nova Scotia"	"65-69"	7.35835	7.50001	8.10001	8.51672	9.10001	9.57508	9.95835	10.31672	10.27318	11.07799	13.562	15.429	15.791	16.41	15.912	17.34	18.723	22.997	29.902
664	"Nova Scotia"	"70-74"	5.55837	5.65835	5.9	6.51671	7.15836	7.53342	8.09999	8.50001	8.55418	8.50867	9.279	11.217	12.69	13.247	13.717	13.769	15.213	16.728	20.756
664	"Nova Scotia"	"75-79"	3.69999	3.7	4.05836	4.15836	4.65835	5.05836	5.55836	5.95837	6.13408	6.232	6.122	6.7	8.249	9.533	10.007	10.749	11.068	12.188	14.143
664	"Nova Scotia"	"80-84"	2.02944	2.035	2.17897	2.1987	2.42054	2.6836	3.1772	3.395	3.764	3.854	3.667	3.78	4.275	5.259	6.102	6.72	7.528	7.864	8.803
