country_code,MigFDMb0,MigFDMb1,MigFDMsrin,MigFDMsrout,MigFDMmin
887,0.001,0.5,0.430235210961971,0.471816165106316,1e-04
894,0.001,0.5,0.459296582852299,0.546309277742286,1e-04
32,1e-05,0.5,0.50604150967005,0.508952808909044,1e-06
68,1e-05,0.5,0.506695288496551,0.507562900590987,1e-06
76,1e-05,0.5,0.495680242285193,0.51040108409527,1e-06
152,0.000100854009350256,0.5,0.497734889988537,0.492864367047236,1.00854009350256e-05
170,4.65032338911222e-06,0.5,0.502829283551438,0.513873468306764,4.65032338911222e-07
188,1e-05,0.5,0.49905744802009,0.500401395912909,1e-06
192,1e-05,0.5,0.514903076768972,0.51250574684485,1e-06
214,0.00109125162621011,0.5,0.508120029639918,0.506085919472316,0.000109125162621011
218,1e-05,0.5,0.506082009164837,0.51907628061729,1e-06
222,0.00113902003508153,0.5,0.503865706189316,0.501781570874154,0.000113902003508153
320,1e-05,0.5,0.503457100952415,0.50381148074381,1e-06
332,0.000213860189643957,0.5,0.479411493748387,0.490974020882616,2.13860189643957e-05
340,1e-05,0.5,0.53434784430696,0.529151190189559,1e-06
484,1e-05,0.5,0.484323651734105,0.496183915750867,1e-06
558,1e-05,0.5,0.512485212688599,0.507091398504623,1e-06
591,1e-05,0.5,0.481808633505574,0.473485546433404,1e-06
600,1e-05,0.5,0.523601974162431,0.513793579658675,1e-06
604,1e-05,0.5,0.496438155134293,0.503144499861677,1e-06
858,1e-05,0.5,0.504949811736078,0.505749829375061,1e-06
862,0.000123593973416877,0.5,0.517227011185999,0.502356500776532,1.23593973416877e-05
