country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
585	Palau	PG	1	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		3	0	0	Global Norm	0	0	0	0	0	0
591	Panama	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
598	Papua New Guinea	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	UN_Far_Eastern	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
600	Paraguay	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
604	Peru	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
608	Philippines	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
616	Poland	PU	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
620	Portugal	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	0	0	0	0	0	0
630	Puerto Rico	SH	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	840	0	1
634	Qatar	SH	0	1950	0	0	Age specific mortality pattern	CD_West	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
410	Republic of Korea	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	0	0	0	Global Norm	0	1	0	0	0	0
